evidence_status,source_dataset,unit_id,target_or_series,chronological_range,roles_seen,studies_seen,results_viewed,development_or_final,stage_a_fresh_candidate,final_holdout_candidate,evidence_refs,exposure_notes,gap_or_uncertainty
[확인],Household Power,overlap_transfer_P1,Global_active_power|Global_reactive_power,2008-08-30~2009-04-29; train 2008-09-13~2008-12-13; V 2008-12-15~2009-01-15; C 2009-01-17~2009-02-07; eval 2009-02-07~2009-04-29,train|val|cal|eval,Study29 overlap transfer; Study30 capacity probe,yes,development,NO,NO,runs/peft_overlap_transfer_v1/prepared/manifest.json; results/peft_overlap_transfer_v1/evidence/prepared_manifest.json; _docs/notes/tsfm_topics/07_research_direction/29_overlap_transfer_20260910.md,[확인] Prepared manifest records P1 Household boundaries and target columns; result artifacts expose eval.,"[추정] Later local Household timestamps may allow candidate periods, but no clean manifest exists yet."
[확인],BDG2,contribution_freeze_bdg2_eagle2017,Eagle_office_Elias|Eagle_office_Elvis,2017-05-04~2018-01-01; train 2017-05-18~2017-08-17; V 2017-08-19~2017-09-19; C 2017-09-21~2017-10-12; D/eval 2017-10-12~2018-01-01,train|val|cal|D/eval,Study31 contribution freeze; Study32 future utility,yes,development,NO,NO,results/peft_contribution_freeze_v1/evidence/prepared_summary.json; _docs/notes/tsfm_topics/07_research_direction/31_contribution_freeze_20260911.md; _docs/notes/tsfm_topics/07_research_direction/32_future_utility_20260911.md,"[확인] This corrects the prior ledger: Study31 used BDG2, not BMRA, for this unit.","[미검증] Other BDG2 buildings or periods may be candidates, but this audit did not certify a clean target-blind manifest."
[확인],Jena,contribution_freeze_jena2023,p (mbar)|T (degC),2023-05-04~2024-01-01; train 2023-05-18~2023-08-17; V 2023-08-19~2023-09-19; C 2023-09-21~2023-10-12; D/eval 2023-10-12~2024-01-01,train|val|cal|D/eval,Study31 contribution freeze; Study32 future utility,yes,development,NO,NO,results/peft_contribution_freeze_v1/evidence/prepared_summary.json; _docs/notes/tsfm_topics/07_research_direction/31_contribution_freeze_20260911.md; _docs/notes/tsfm_topics/07_research_direction/32_future_utility_20260911.md,[확인] Prepared summary records source data/jena_mpi_roof/mpi_roof_2023a.csv and split boundaries.,"[확인] Same-family Jena 2024 had already been exposed in S1, so this is development evidence only."
[확인],Jena,decision_transfer_dev_jena2021,p (mbar)|T (degC),2021-05-04~2022-01-01; train 2021-05-18~2021-08-17; V 2021-08-19~2021-09-19; C 2021-09-21~2021-10-12; D/eval 2021-10-12~2022-01-01,train|val|cal|D/eval,Study33 decision transfer dev,yes,development,NO,NO,results/peft_decision_transfer_v1/evidence/prepared_summary.json; experiments/peft_decision_transfer_v1/PURPOSE_DATA.md; _docs/notes/tsfm_topics/07_research_direction/33_decision_transfer_20260911.md,[확인] Prepared summary records Jena 2021 source and all split boundaries.,"[확인] Study33 labels this as new target-label period under local history, not a new raw source family."
[확인],Jena,decision_transfer_test_jena2022,p (mbar)|T (degC),2022-05-04~2023-01-01; train 2022-05-18~2022-08-17; V 2022-08-19~2022-09-19; C 2022-09-21~2022-10-12; D/eval 2022-10-12~2023-01-01,train|val|cal|D/eval,Study33 decision transfer test,yes,development,NO,NO,results/peft_decision_transfer_v1/evidence/prepared_summary.json; experiments/peft_decision_transfer_v1/PURPOSE_DATA.md; _docs/notes/tsfm_topics/07_research_direction/33_decision_transfer_20260911.md,[확인] Prepared summary records Jena 2022 source and all split boundaries.,"[확인] Results were opened as Study33 transfer evidence, so this is not sealed final."
[확인],BMRA,decision_transfer_dev_bmra2022,E_BNWKW-1|E_BRYBW-1,2022-01-04~2022-09-03; train 2022-01-18~2022-04-19; V 2022-04-21~2022-05-22; C 2022-05-24~2022-06-14; D/eval 2022-06-14~2022-09-03,train|val|cal|D/eval,Study33 decision transfer dev,yes,development,NO,NO,results/peft_decision_transfer_v1/evidence/prepared_summary.json; experiments/peft_decision_transfer_v1/PURPOSE_DATA.md; _docs/notes/tsfm_topics/07_research_direction/33_decision_transfer_20260911.md,[확인] Prepared summary records BMRA 2022 source and target pair.,[확인] Same BMRA raw family had non-PEFT UCP processing for 2019~2021; FM pretraining overlap remains UNKNOWN.
[확인],BMRA,decision_transfer_test_bmra2023,E_BNWKW-1|E_BRYBW-1,2023-01-04~2023-09-03; train 2023-01-18~2023-04-19; V 2023-04-21~2023-05-22; C 2023-05-24~2023-06-14; D/eval 2023-06-14~2023-09-03,train|val|cal|D/eval,Study33 decision transfer test,yes,development,NO,NO,results/peft_decision_transfer_v1/evidence/prepared_summary.json; experiments/peft_decision_transfer_v1/PURPOSE_DATA.md; _docs/notes/tsfm_topics/07_research_direction/33_decision_transfer_20260911.md,[확인] Prepared summary records BMRA 2023 source and target pair.,"[확인] Results were opened as Study33 transfer evidence, so this is not sealed final."
[확인],Jena,initial_headroom_jena2019,p (mbar)|T (degC),2019-05-04~2020-01-01; train 2019-05-18~2019-08-17; V 2019-08-19~2019-09-19; C 2019-09-21~2019-10-12; D/eval 2019-10-12~2020-01-01,train|val|cal|D/eval,Study34 initial headroom,yes,development,NO,NO,results/peft_initial_headroom_v1/evidence/prepared_summary.json; _docs/notes/tsfm_topics/07_research_direction/34_initial_headroom_20260911.md,[확인] Prepared summary records Jena 2019 source and all split boundaries.,[확인] Same raw source family; FM pretraining overlap UNKNOWN in prepared summary.
[확인],BMRA,initial_headroom_bmra2018,E_BNWKW-1|E_BRYBW-1,2018-01-04~2018-09-03; train 2018-01-18~2018-04-19; V 2018-04-21~2018-05-22; C 2018-05-24~2018-06-14; D/eval 2018-06-14~2018-09-03,train|val|cal|D/eval,Study34 initial headroom,yes,development,NO,NO,results/peft_initial_headroom_v1/evidence/prepared_summary.json; _docs/notes/tsfm_topics/07_research_direction/34_initial_headroom_20260911.md,[확인] Prepared summary records BMRA 2018 source and target pair.,[확인] Same raw source family; FM pretraining overlap UNKNOWN in prepared summary.
[확인],Jena,head_convergence_jena2018,p (mbar)|T (degC),2018-05-04~2019-01-01; train 2018-05-18~2018-08-17; V 2018-08-19~2018-09-19; C 2018-09-21~2018-10-12; D/eval 2018-10-12~2019-01-01,train|val|cal|D/eval,Study35 head convergence,yes,development,NO,NO,results/peft_head_convergence_v1/evidence/prepared_summary.json; experiments/peft_head_convergence_v1/PURPOSE.md; _docs/notes/tsfm_topics/07_research_direction/35_head_convergence_20260911.md,[확인] Prepared summary records Jena 2018 source and all split boundaries.,[확인] This was selected after Jena2020 was rejected for prior raw-value exposure.
[확인],BMRA,head_convergence_bmra2017,E_BRYBW-1|E_BURBO,2017-05-04~2018-01-01; train 2017-05-18~2017-08-17; V 2017-08-19~2017-09-19; C 2017-09-21~2017-10-12; D/eval 2017-10-12~2018-01-01,train|val|cal|D/eval,Study35 head convergence,yes,development,NO,NO,results/peft_head_convergence_v1/evidence/prepared_summary.json; experiments/peft_head_convergence_v1/PURPOSE.md; _docs/notes/tsfm_topics/07_research_direction/35_head_convergence_20260911.md,[확인] Prepared summary records BMRA 2017 source and rotated target pair.,"[확인] PURPOSE notes target pair/season changed after availability-only QC, before model outcomes."
[확인],Jena,excluded_jena2020,p (mbar)|T (degC) family,"2020 raw readings, exact PEFT block not used in Study35",prior non-Study35 weather fit/validation/test exposure,excluded from Study35 candidate selection,yes,excluded_candidate,NO,NO,results/peft_head_convergence_v1/evidence/prepared_summary.json; experiments/peft_head_convergence_v1/PURPOSE.md; results/hq_token_pilot_v1/data_manifest.json; _docs/notes/tsfm_topics/07_research_direction/35_head_convergence_20260911.md,[확인] Study35 documents that Jena2020 raw values matched earlier weather-pilot target exposure and was excluded.,[미검증] This audit did not re-open the old weather target arrays to prove every timestamp overlap.
[확인],Hospital shared-strength,hospital_monthly_2000_2006,767 monthly hospital series; ids_sha256 recorded,2000-01~2006-12; train 2000~2002; V1 2003; V2 2004; E1 2005; E2 2006,train|V1|V2|E1|E2,Study24 hospital shared strength,yes,development_pilot,NO,NO,runs/hospital_shared_strength_v1_prepared/manifest.json; results/hospital_shared_strength_v1/summary.json; _docs/notes/tsfm_topics/08_hospital_shared_strength/24_hospital_results_20260910.md,"[확인] Manifest records canonical source, shape [767,84], start/end months, and UNKNOWN pretraining overlap.",[확인] E1/E2 results were opened in the pilot; local canonical has no later months.
[확인],synthetic Markov DGP,dependence_screen_v1,synthetic generated conditions,length 512; context 128; train 64; val 32; devtest 128,data_gate_only,Study36 dependence screen,no forecast PEFT result,design_gate_synthetic,NO,NOT_APPLICABLE,results/peft_dependence_screen_v1/data_gate/summary.json; _docs/history/2026-09-11.md,[확인] Data gate stopped before GPU Phase 1; lora_or_adapter_result is NOT_MEASURED.,[판정] Synthetic design gate is not a real fresh holdout.
