evidence_status,peft_dir,dir_kind,mapped_exposure_units,coverage_status,source_range_summary,evidence_refs,notes
[확인],experiments/peft_overlap_transfer_v1,experiments,overlap_transfer_P1 Bike; overlap_transfer_P1 Household,[확인] mapped_to_ledger_rows,Bike 2012-04-06~2012-12-04; Household 2008-08-30~2009-04-29,runs/peft_overlap_transfer_v1/prepared/manifest.json; results/peft_overlap_transfer_v1/evidence/prepared_manifest.json; _docs/notes/tsfm_topics/07_research_direction/29_overlap_transfer_20260910.md,[확인] P1 overlap-transfer results are development exposure.
[확인],experiments/peft_r1_validation_v1,experiments,fullft_reference_P0 Bike; fullft_reference_P0 Household,[확인] mapped_to_ledger_rows,P0 Bike/Household from fullft reference v3 contract,results/peft_r1_validation_v1/evidence/contract.json; results/peft_r1_validation_v1/summary.json,[확인] R1 validation opened metrics/residual artifacts on P0 and cannot serve as final.
[확인],experiments/peft_revision_entry_v1,experiments,revision_entry_payems_indpro_2020_2024,[확인] mapped_to_ledger_row,ALFRED PAYEMS/INDPRO event months 1989-12-01~2024-12-01; evaluation origins/target events 2020-01-01~2024-12-01,results/peft_revision_entry_v1/data_qc.json; results/peft_revision_entry_v1/origin_audit.json; runs/peft_revision_entry_v1/validation_selection.json; results/peft_revision_entry_v1/cpu_results.json,[확인] Missing ALFRED revision-entry ledger gap filled.
[확인],experiments/peft_selection_regret_v1,experiments,external_gap_first_block Bike/Household; temporal_replication_block Bike/Household,[확인] mapped_to_existing_development_rows,Study14 uses Study12 and Study13 four cells; no separate fresh unit,results/peft_selection_regret_v1/selected_results.csv; _docs/notes/tsfm_topics/03_selection_calibration/14_peft_selection_regret_results_20260908.md,[확인] Selection/calibration artifacts reuse already-opened Bike/Household cells.
[확인],experiments/peft_shift_mechanism_v1,experiments,peft_shift_module_trainlag_synthetic,[확인] mapped_to_synthetic_ledger_row,"synthetic episodes, no calendar source",_docs/notes/tsfm_topics/02_adaptation_scope/08_peft_shift_mechanism_results_20260908.md,[판정] Synthetic data is not a real fresh source/period unit.
[확인],experiments/peft_temporal_replication_v1,experiments,temporal_replication_block Bike; temporal_replication_block Household,[확인] mapped_to_ledger_rows_with_manifest_boundaries,Bike 2011-07-10~2012-01-16; Household 2007-06-25~2008-01-01,runs/peft_temporal_replication_v1/prepared/manifest.json; results/peft_temporal_replication_v1/selected_results.csv; _docs/notes/tsfm_topics/02_adaptation_scope/13_peft_temporal_replication_results_20260908.md,[확인] Study13 opened selected results for both units.
[확인],experiments/peft_trainlag_v1,experiments,peft_shift_module_trainlag_synthetic,[확인] mapped_to_synthetic_ledger_row,"synthetic episodes, no calendar source",_docs/notes/tsfm_topics/02_adaptation_scope/10_peft_trainlag_results_20260908.md,[판정] Synthetic data is not a real fresh source/period unit.
[확인],results/peft_adaptation_scope_v1,results,adaptation_scope_s1_ettm2; adaptation_scope_s1_jena2024,[확인] mapped_to_ledger_rows,ETTm2 2018-03-02~2018-06-25; Jena 2024-09-07~2024-12-31,results/peft_adaptation_scope_v1/summary_and_costs.json; _docs/notes/tsfm_topics/02_adaptation_scope/04_peft_adaptation_scope_s1_results_20260908.md,[확인] S1 opened validation/evaluation target results for both units.
[확인],results/peft_calibration_closure_v1,results,peft_shift_module_trainlag_synthetic,[확인] mapped_to_synthetic_ledger_row,Study11 CPU calibration reuses Study10 synthetic predictions; no new calendar source,results/peft_calibration_closure_v1/summary.json; _docs/notes/tsfm_topics/03_selection_calibration/11_peft_calibration_closure_results_20260908.md,[확인] Calibration closure does not certify a fresh real holdout.
[확인],results/peft_capacity_probe_v1,results,fullft_reference_P0 Bike/Household; overlap_transfer_P1 Bike/Household,[확인] mapped_to_existing_development_rows,Capacity probe uses P0 and P1 Bike/Household contracts and opened probe metrics,results/peft_capacity_probe_v1/evidence/plan.json; results/peft_capacity_probe_v1/evidence/P0_FULL90_contract.json; results/peft_capacity_probe_v1/evidence/P1_FULL90_contract.json; results/peft_capacity_probe_v1/summary.json,[확인] Study30 is covered by P0/P1 ledger rows.
[확인],results/peft_coarse_supervision_v1,results,coarse_supervision_bdg2_eagle_lamb_2016_2017,[확인] mapped_to_ledger_row,BDG2 raw 2016-01-01~2017-12-31; train 2016-02~2016-12; validation 2017-01~2017-03; evaluation 2017-04~2017-06,runs/peft_coarse_supervision_v1/data/metadata.json; runs/peft_coarse_supervision_v1/data/data_build_contract.json; results/peft_coarse_supervision_v1/independent_evaluation_audit.json; _docs/notes/tsfm_topics/04_objective_observation/17_coarse_supervision_results_20260908.md,[확인] Missing BDG2 coarse-supervision ledger gap filled.
[확인],results/peft_contribution_freeze_v1,results,contribution_freeze_bdg2_eagle2017; contribution_freeze_jena2023,[확인] mapped_to_ledger_rows,BDG2 2017-05-04~2018-01-01; Jena 2023-05-04~2024-01-01,results/peft_contribution_freeze_v1/evidence/prepared_summary.json; _docs/notes/tsfm_topics/07_research_direction/31_contribution_freeze_20260911.md,[확인] Corrects previous BMRA mislabel for Study31.
[확인],results/peft_decision_transfer_v1,results,decision_transfer_dev_jena2021; decision_transfer_test_jena2022; decision_transfer_dev_bmra2022; decision_transfer_test_bmra2023,[확인] mapped_to_ledger_rows,Jena 2021/2022 and BMRA 2022/2023 development/test transfer windows,results/peft_decision_transfer_v1/evidence/prepared_summary.json; experiments/peft_decision_transfer_v1/PURPOSE_DATA.md; _docs/notes/tsfm_topics/07_research_direction/33_decision_transfer_20260911.md,[확인] Study33 opened transfer evidence; final status is NO.
[확인],results/peft_dependence_screen_v1,results,dependence_screen_v1 synthetic Markov DGP,[확인] mapped_to_synthetic_ledger_row,synthetic length 512; context 128; train 64; val 32; devtest 128,results/peft_dependence_screen_v1/data_gate/summary.json; _docs/history/2026-09-11.md,[판정] Data gate stopped before GPU Phase 1; not a real fresh holdout.
[확인],results/peft_external_gap_v1,results,external_gap_first_block Bike; external_gap_first_block Household,[확인] mapped_to_ledger_rows_with_manifest_boundaries,"Bike 2011-01-01~2011-07-10; Household 2006-12-17~2007-06-25, with train/V/C/eval split boundaries from manifest",runs/peft_external_gap_v1/prepared/manifest.json; results/peft_external_gap_v1/diagnostics.json; _docs/notes/tsfm_topics/02_adaptation_scope/12_peft_external_gap_results_20260908.md,[확인] Parent spot-check gap fixed: exact retained timestamp boundaries exist in prepared manifest.
[확인],results/peft_fullft_reference_v3,results,fullft_reference_P0 Bike; fullft_reference_P0 Household,[확인] mapped_to_ledger_rows,Bike 2012-01-16~2012-09-14; Household 2008-01-01~2008-08-30,runs/peft_fullft_reference_v3/prepared/manifest.json; results/peft_fullft_reference_v3/summary.json; _docs/notes/tsfm_topics/06_fullft_reference/20_peft_fullft_reference_results_20260909.md,[확인] Full fine-tuning reference results are development-exposed P0 units.
[확인],results/peft_future_utility_v1,results,contribution_freeze_bdg2_eagle2017; contribution_freeze_jena2023,[확인] mapped_to_existing_development_rows,Reuses Study31 BDG2/Jena development units,_docs/notes/tsfm_topics/07_research_direction/32_future_utility_20260911.md; results/peft_future_utility_v1/summary.json,[확인] Future-utility artifacts do not introduce sealed final data.
[확인],results/peft_head_complement_v1,results,adaptation_scope_s1_ettm2; synthetic geometry checks,[확인] mapped_real_features_no_new_targets,ETTm2 train-origin feature cache from S1; synthetic CPU checks; validation/evaluation target values marked unused in entry gate,results/peft_head_complement_v1/entry_gate.json; results/peft_head_complement_v1/entry_gate_verified.json; _docs/notes/tsfm_topics/02_adaptation_scope/07_head_complement_method_gate_results_20260908.md,[확인] Directory does not add a clean holdout; ETTm2 source is already development-exposed by S1.
[확인],results/peft_head_convergence_v1,results,head_convergence_jena2018; head_convergence_bmra2017; excluded_jena2020,[확인] mapped_to_ledger_rows_and_exclusion_row,Jena 2018-05-04~2019-01-01; BMRA 2017-05-04~2018-01-01; Jena2020 excluded due prior raw exposure,results/peft_head_convergence_v1/evidence/prepared_summary.json; experiments/peft_head_convergence_v1/PURPOSE.md; _docs/notes/tsfm_topics/07_research_direction/35_head_convergence_20260911.md,[확인] Includes excluded Jena2020 so it is not silently treated as fresh.
[확인],results/peft_initial_headroom_v1,results,initial_headroom_jena2019; initial_headroom_bmra2018,[확인] mapped_to_ledger_rows,Jena 2019-05-04~2020-01-01; BMRA 2018-01-04~2018-09-03,results/peft_initial_headroom_v1/evidence/prepared_summary.json; _docs/notes/tsfm_topics/07_research_direction/34_initial_headroom_20260911.md,[확인] Study34 opened development evidence.
[확인],results/peft_mechanism_diagnostics_v1,results,fullft_reference_P0 Bike/Household; hospital_monthly_2000_2006,[확인] mapped_to_development_rows,P0 Bike/Household via reference summaries; hospital strength eval years 2005/2006,results/peft_mechanism_diagnostics_v1/reference/summary.json; results/peft_mechanism_diagnostics_v1/hospital_strength/summary.json,[확인] Diagnostics are downstream analyses of already-opened development outputs.
[확인],results/peft_method_pilot_screen_v1,results,external_gap_first_block Bike/Household; temporal_replication_block Bike/Household; coarse_supervision_bdg2_eagle_lamb_2016_2017,[확인] mapped_to_existing_development_rows,"Uses Study12/13 selected_results, Study17 BDG2 evaluation truth/predictions, and Bike raw covariate correlation screen",results/peft_method_pilot_screen_v1/source_hashes.json; results/peft_method_pilot_screen_v1/adaptation_abstain_control.json; results/peft_method_pilot_screen_v1/covariate_lag_control.json; results/peft_method_pilot_screen_v1/pattern_preserving_control.json,"[확인] Method pilot screen reuses already-opened development artifacts; [미검증] exact covariate-lag raw Bike analysis window is not separately frozen in the artifact, so it is conservatively mapped to the already exposed Bike raw/source family rather than certified as a clean unit."
[확인],results/peft_module_ablation_v1,results,peft_shift_module_trainlag_synthetic,[확인] mapped_to_synthetic_ledger_row,"synthetic episodes, no calendar source",_docs/notes/tsfm_topics/02_adaptation_scope/09_peft_module_ablation_results_20260908.md,[판정] Synthetic data is not a real fresh source/period unit.
[확인],results/peft_objective_alignment_v1,results,external_gap_first_block Bike; external_gap_first_block Household,[확인] mapped_to_existing_development_rows,Study15 reuses Study12 Bike/Household train63/V13/C13/E83 origins at L336/H48,_docs/notes/tsfm_topics/04_objective_observation/15_peft_objective_alignment_results_20260908.md,[확인] Objective alignment is not a new clean holdout source.
[확인],results/peft_observation_operator_entry_v1,results,observation_operator_entry_uscrn_az_tucson_2024; synthetic operator semantics checks,[확인] mapped_to_qc_entry_row,USCRN AZ_Tucson_11_W hourly 2024-01-01 01:00~2025-01-01 00:00 UTC; subhourly 2024-01-01 00:05~2025-01-01 00:00 UTC,experiments/peft_observation_operator_entry_v1/README.md; data_external/uscrn_operator_entry_v1/contract.json; data_external/uscrn_operator_entry_v1/qc.json; results/peft_observation_operator_entry_v1/final_audit.json,[확인] Data were downloaded/QC'd for observation-operator semantics and no forecast score was treated as sealed final.
[확인],results/peft_optimization_control_v1,results,fullft_reference_P0 Bike; fullft_reference_P0 Household,[확인] mapped_to_ledger_rows,P0 Bike/Household from fullft reference v3 contract; FULL90/SPREAD30/RECENT30 training-row controls,results/peft_optimization_control_v1/evidence/contract.json; results/peft_optimization_control_v1/summary.json; results/peft_optimization_control_v1/exposure_unit_audit.json,[확인] Optimization-control artifacts are development exposure over P0 units.
[확인],results/peft_overlap_transfer_v1,results,overlap_transfer_P1 Bike; overlap_transfer_P1 Household,[확인] mapped_to_ledger_rows,Bike 2012-04-06~2012-12-04; Household 2008-08-30~2009-04-29,runs/peft_overlap_transfer_v1/prepared/manifest.json; results/peft_overlap_transfer_v1/evidence/prepared_manifest.json; _docs/notes/tsfm_topics/07_research_direction/29_overlap_transfer_20260910.md,[확인] P1 overlap-transfer results are development exposure.
[확인],results/peft_paper_closure_v1,results,audit package only,[확인] audit_output_not_data_source,No PEFT target exposure introduced by this audit script; outputs summarize existing metadata/artifacts only,results/peft_paper_closure_v1/build_data_exposure_audit.py; results/peft_paper_closure_v1/data_exposure_ledger.csv; results/peft_paper_closure_v1/holdout_availability.json,[확인] Owned closure artifacts only.
[확인],results/peft_r1_validation_v1,results,fullft_reference_P0 Bike; fullft_reference_P0 Household,[확인] mapped_to_ledger_rows,P0 Bike/Household from fullft reference v3 contract,results/peft_r1_validation_v1/evidence/contract.json; results/peft_r1_validation_v1/summary.json,[확인] R1 validation opened metrics/residual artifacts on P0 and cannot serve as final.
[확인],results/peft_revision_entry_v1,results,revision_entry_payems_indpro_2020_2024,[확인] mapped_to_ledger_row,ALFRED PAYEMS/INDPRO event months 1989-12-01~2024-12-01; evaluation origins/target events 2020-01-01~2024-12-01,results/peft_revision_entry_v1/data_qc.json; results/peft_revision_entry_v1/origin_audit.json; runs/peft_revision_entry_v1/validation_selection.json; results/peft_revision_entry_v1/cpu_results.json,[확인] Missing ALFRED revision-entry ledger gap filled.
[확인],results/peft_selection_regret_v1,results,external_gap_first_block Bike/Household; temporal_replication_block Bike/Household,[확인] mapped_to_existing_development_rows,Study14 uses Study12 and Study13 four cells; no separate fresh unit,results/peft_selection_regret_v1/selected_results.csv; _docs/notes/tsfm_topics/03_selection_calibration/14_peft_selection_regret_results_20260908.md,[확인] Selection/calibration artifacts reuse already-opened Bike/Household cells.
[확인],results/peft_shift_mechanism_v1,results,peft_shift_module_trainlag_synthetic,[확인] mapped_to_synthetic_ledger_row,"synthetic episodes, no calendar source",_docs/notes/tsfm_topics/02_adaptation_scope/08_peft_shift_mechanism_results_20260908.md,[판정] Synthetic data is not a real fresh source/period unit.
[확인],results/peft_temporal_replication_v1,results,temporal_replication_block Bike; temporal_replication_block Household,[확인] mapped_to_ledger_rows_with_manifest_boundaries,Bike 2011-07-10~2012-01-16; Household 2007-06-25~2008-01-01,runs/peft_temporal_replication_v1/prepared/manifest.json; results/peft_temporal_replication_v1/selected_results.csv; _docs/notes/tsfm_topics/02_adaptation_scope/13_peft_temporal_replication_results_20260908.md,[확인] Study13 opened selected results for both units.
[확인],results/peft_trainlag_v1,results,peft_shift_module_trainlag_synthetic,[확인] mapped_to_synthetic_ledger_row,"synthetic episodes, no calendar source",_docs/notes/tsfm_topics/02_adaptation_scope/10_peft_trainlag_results_20260908.md,[판정] Synthetic data is not a real fresh source/period unit.
