dataset,split,channel,operation,r,candidate_windows,eligible_windows,excluded_windows,excluded_fraction
uci,train,global_reactive_power,INTERVAL_MEAN,8,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,INTERVAL_MEAN,12,73325,64255,9070,0.12369587453119668
uci,train,voltage,END_BIN,2,73325,64255,9070,0.12369587453119668
uci,train,voltage,END_BIN,3,73325,64255,9070,0.12369587453119668
uci,train,voltage,END_BIN,4,73325,64255,9070,0.12369587453119668
uci,train,voltage,END_BIN,6,73325,64255,9070,0.12369587453119668
uci,train,voltage,END_BIN,8,73325,64255,9070,0.12369587453119668
uci,train,voltage,END_BIN,12,73325,64255,9070,0.12369587453119668
uci,train,voltage,INTERVAL_MEAN,2,73325,64255,9070,0.12369587453119668
uci,train,voltage,INTERVAL_MEAN,3,73325,64255,9070,0.12369587453119668
uci,train,voltage,INTERVAL_MEAN,4,73325,64255,9070,0.12369587453119668
uci,train,voltage,INTERVAL_MEAN,6,73325,64255,9070,0.12369587453119668
uci,train,voltage,INTERVAL_MEAN,8,73325,64255,9070,0.12369587453119668
uci,train,voltage,INTERVAL_MEAN,12,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,END_BIN,2,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,END_BIN,3,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,END_BIN,4,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,END_BIN,6,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,END_BIN,8,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,END_BIN,12,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,INTERVAL_MEAN,2,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,INTERVAL_MEAN,3,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,INTERVAL_MEAN,4,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,INTERVAL_MEAN,6,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,INTERVAL_MEAN,8,73325,64255,9070,0.12369587453119668
uci,train,global_intensity,INTERVAL_MEAN,12,73325,64255,9070,0.12369587453119668
uci,val,global_active_power,END_BIN,2,146,131,15,0.10273972602739723
uci,val,global_active_power,END_BIN,3,146,131,15,0.10273972602739723
uci,val,global_active_power,END_BIN,4,146,131,15,0.10273972602739723
uci,val,global_active_power,END_BIN,6,146,131,15,0.10273972602739723
uci,val,global_active_power,END_BIN,8,146,131,15,0.10273972602739723
uci,val,global_active_power,END_BIN,12,146,131,15,0.10273972602739723
uci,val,global_active_power,INTERVAL_MEAN,2,146,131,15,0.10273972602739723
uci,val,global_active_power,INTERVAL_MEAN,3,146,131,15,0.10273972602739723
uci,val,global_active_power,INTERVAL_MEAN,4,146,131,15,0.10273972602739723
uci,val,global_active_power,INTERVAL_MEAN,6,146,131,15,0.10273972602739723
uci,val,global_active_power,INTERVAL_MEAN,8,146,131,15,0.10273972602739723
uci,val,global_active_power,INTERVAL_MEAN,12,146,131,15,0.10273972602739723
uci,val,global_reactive_power,END_BIN,2,146,131,15,0.10273972602739723
uci,val,global_reactive_power,END_BIN,3,146,131,15,0.10273972602739723
uci,val,global_reactive_power,END_BIN,4,146,131,15,0.10273972602739723
uci,val,global_reactive_power,END_BIN,6,146,131,15,0.10273972602739723
uci,val,global_reactive_power,END_BIN,8,146,131,15,0.10273972602739723
uci,val,global_reactive_power,END_BIN,12,146,131,15,0.10273972602739723
uci,val,global_reactive_power,INTERVAL_MEAN,2,146,131,15,0.10273972602739723
uci,val,global_reactive_power,INTERVAL_MEAN,3,146,131,15,0.10273972602739723
uci,val,global_reactive_power,INTERVAL_MEAN,4,146,131,15,0.10273972602739723
uci,val,global_reactive_power,INTERVAL_MEAN,6,146,131,15,0.10273972602739723
uci,val,global_reactive_power,INTERVAL_MEAN,8,146,131,15,0.10273972602739723
uci,val,global_reactive_power,INTERVAL_MEAN,12,146,131,15,0.10273972602739723
uci,val,voltage,END_BIN,2,146,131,15,0.10273972602739723
uci,val,voltage,END_BIN,3,146,131,15,0.10273972602739723
uci,val,voltage,END_BIN,4,146,131,15,0.10273972602739723
uci,val,voltage,END_BIN,6,146,131,15,0.10273972602739723
uci,val,voltage,END_BIN,8,146,131,15,0.10273972602739723
uci,val,voltage,END_BIN,12,146,131,15,0.10273972602739723
uci,val,voltage,INTERVAL_MEAN,2,146,131,15,0.10273972602739723
uci,val,voltage,INTERVAL_MEAN,3,146,131,15,0.10273972602739723
uci,val,voltage,INTERVAL_MEAN,4,146,131,15,0.10273972602739723
uci,val,voltage,INTERVAL_MEAN,6,146,131,15,0.10273972602739723
uci,val,voltage,INTERVAL_MEAN,8,146,131,15,0.10273972602739723
uci,val,voltage,INTERVAL_MEAN,12,146,131,15,0.10273972602739723
uci,val,global_intensity,END_BIN,2,146,131,15,0.10273972602739723
uci,val,global_intensity,END_BIN,3,146,131,15,0.10273972602739723
uci,val,global_intensity,END_BIN,4,146,131,15,0.10273972602739723
uci,val,global_intensity,END_BIN,6,146,131,15,0.10273972602739723
uci,val,global_intensity,END_BIN,8,146,131,15,0.10273972602739723
uci,val,global_intensity,END_BIN,12,146,131,15,0.10273972602739723
uci,val,global_intensity,INTERVAL_MEAN,2,146,131,15,0.10273972602739723
uci,val,global_intensity,INTERVAL_MEAN,3,146,131,15,0.10273972602739723
uci,val,global_intensity,INTERVAL_MEAN,4,146,131,15,0.10273972602739723
uci,val,global_intensity,INTERVAL_MEAN,6,146,131,15,0.10273972602739723
uci,val,global_intensity,INTERVAL_MEAN,8,146,131,15,0.10273972602739723
uci,val,global_intensity,INTERVAL_MEAN,12,146,131,15,0.10273972602739723
uci,test,global_active_power,END_BIN,2,292,258,34,0.11643835616438358
uci,test,global_active_power,END_BIN,3,292,258,34,0.11643835616438358
uci,test,global_active_power,END_BIN,4,292,258,34,0.11643835616438358
uci,test,global_active_power,END_BIN,6,292,258,34,0.11643835616438358
uci,test,global_active_power,END_BIN,8,292,258,34,0.11643835616438358
uci,test,global_active_power,END_BIN,12,292,258,34,0.11643835616438358
uci,test,global_active_power,INTERVAL_MEAN,2,292,258,34,0.11643835616438358
uci,test,global_active_power,INTERVAL_MEAN,3,292,258,34,0.11643835616438358
uci,test,global_active_power,INTERVAL_MEAN,4,292,258,34,0.11643835616438358
uci,test,global_active_power,INTERVAL_MEAN,6,292,258,34,0.11643835616438358
uci,test,global_active_power,INTERVAL_MEAN,8,292,258,34,0.11643835616438358
uci,test,global_active_power,INTERVAL_MEAN,12,292,258,34,0.11643835616438358
uci,test,global_reactive_power,END_BIN,2,292,258,34,0.11643835616438358
uci,test,global_reactive_power,END_BIN,3,292,258,34,0.11643835616438358
uci,test,global_reactive_power,END_BIN,4,292,258,34,0.11643835616438358
uci,test,global_reactive_power,END_BIN,6,292,258,34,0.11643835616438358
uci,test,global_reactive_power,END_BIN,8,292,258,34,0.11643835616438358
uci,test,global_reactive_power,END_BIN,12,292,258,34,0.11643835616438358
uci,test,global_reactive_power,INTERVAL_MEAN,2,292,258,34,0.11643835616438358
uci,test,global_reactive_power,INTERVAL_MEAN,3,292,258,34,0.11643835616438358
uci,test,global_reactive_power,INTERVAL_MEAN,4,292,258,34,0.11643835616438358
uci,test,global_reactive_power,INTERVAL_MEAN,6,292,258,34,0.11643835616438358
uci,test,global_reactive_power,INTERVAL_MEAN,8,292,258,34,0.11643835616438358
uci,test,global_reactive_power,INTERVAL_MEAN,12,292,258,34,0.11643835616438358
uci,test,voltage,END_BIN,2,292,258,34,0.11643835616438358
uci,test,voltage,END_BIN,3,292,258,34,0.11643835616438358
uci,test,voltage,END_BIN,4,292,258,34,0.11643835616438358
uci,test,voltage,END_BIN,6,292,258,34,0.11643835616438358
uci,test,voltage,END_BIN,8,292,258,34,0.11643835616438358
uci,test,voltage,END_BIN,12,292,258,34,0.11643835616438358
uci,test,voltage,INTERVAL_MEAN,2,292,258,34,0.11643835616438358
uci,test,voltage,INTERVAL_MEAN,3,292,258,34,0.11643835616438358
uci,test,voltage,INTERVAL_MEAN,4,292,258,34,0.11643835616438358
uci,test,voltage,INTERVAL_MEAN,6,292,258,34,0.11643835616438358
uci,test,voltage,INTERVAL_MEAN,8,292,258,34,0.11643835616438358
uci,test,voltage,INTERVAL_MEAN,12,292,258,34,0.11643835616438358
uci,test,global_intensity,END_BIN,2,292,258,34,0.11643835616438358
uci,test,global_intensity,END_BIN,3,292,258,34,0.11643835616438358
uci,test,global_intensity,END_BIN,4,292,258,34,0.11643835616438358
uci,test,global_intensity,END_BIN,6,292,258,34,0.11643835616438358
uci,test,global_intensity,END_BIN,8,292,258,34,0.11643835616438358
uci,test,global_intensity,END_BIN,12,292,258,34,0.11643835616438358
uci,test,global_intensity,INTERVAL_MEAN,2,292,258,34,0.11643835616438358
uci,test,global_intensity,INTERVAL_MEAN,3,292,258,34,0.11643835616438358
uci,test,global_intensity,INTERVAL_MEAN,4,292,258,34,0.11643835616438358
uci,test,global_intensity,INTERVAL_MEAN,6,292,258,34,0.11643835616438358
uci,test,global_intensity,INTERVAL_MEAN,8,292,258,34,0.11643835616438358
uci,test,global_intensity,INTERVAL_MEAN,12,292,258,34,0.11643835616438358
